NUTS3;CODE
'BE100';'1031'
'BE100';'1044'
'BE331';'4560'
'BE254';'8501'
'BE32B';'6030'
'BE32D';'6463'
'BE351';'5560'
'BE351';'5575'
'BE32D';'6593'
'BE257';'8750'
'BE241';'1540'
'BE231';'9406'
'BE241';'1651'
'BE211';'2100'
'BE232';'9250'
'BE332';'4000'
'BE336';'4791'
'BE223';'3621'
'BE328';'7604'
'BE224';'3945'
'BE351';'5576'
'BE342';'6692'
'BE241';'1861'
'BE352';'5332'
'BE231';'9470'
'BE100';'1140'
'BE211';'2060'
'BE213';'2470'
'BE225';'3640'
'BE224';'3560'
'BE241';'1785'
'BE212';'2811'
'BE335';'4983'
'BE32B';'6220'
'BE223';'3717'
'BE213';'2370'
'BE232';'9240'
'BE334';'4351'
'BE211';'2640'
'BE352';'5150'
'BE241';'1560'
'BE328';'7543'
'BE241';'1731'
'BE254';'8793'
'BE234';'9080'
'BE352';'5021'
'BE344';'6860'
'BE344';'6921'
'BE332';'4680'
'BE323';'7332'
'BE224';'3980'
'BE241';'1755'
'BE225';'3940'
'BE251';'8210'
'BE332';'4671'
'BE242';'3404'
'BE342';'6672'
'BE32C';'7181'
'BE213';'2490'
'BE234';'9031'
'BE345';'6743'
'BE352';'5190'
'BE242';'3052'
'BE332';'4690'
'BE235';'9667'
'BE233';'9970'
'BE231';'9310'
'BE331';'4500'
'BE310';'1476'
'BE231';'9320'
'BE310';'1430'
'BE32C';'7062'
'BE32D';'6594'
'BE336';'4782'
'BE224';'3850'
'BE332';'4606'
'BE310';'1480'
'BE352';'5002'
'BE213';'2320'
'BE351';'5364'
'BE254';'8581'
'BE242';'3061'
'BE328';'7640'
'BE328';'7531'
'BE235';'9770'
'BE310';'1457'
'BE233';'9961'
'BE341';'6630'
'BE253';'9950'
'BE351';'5562'
'BE335';'4960'
'BE335';'4890'
'BE32A';'7971'
'BE328';'7611'
'BE32D';'6560'
'BE242';'3272'
'BE211';'2627'
'BE223';'3840'
'BE234';'9000'
'BE234';'9850'
'BE241';'1820'
'BE241';'1670'
'BE353';'5670'
'BE241';'1740'
'BE242';'3294'
'BE341';'6717'
'BE32D';'6461'
'BE351';'5571'
'BE342';'6663'
'BE351';'5363'
'BE253';'8957'
'BE212';'2560'
'BE242';'3110'
'BE231';'9521'
'BE343';'6970'
'BE32A';'7861'
'BE213';'2350'
'BE332';'4400'
'BE241';'1640'
'BE224';'3806'
'BE231';'9404'
'BE232';'9260'
'BE32D';'6534'
'BE241';'1502'
'BE328';'7901'
'BE242';'3401'
'BE32A';'7880'
'BE231';'9620'
'BE211';'2020'
'BE344';'6887'
'BE242';'3120'
'BE332';'4101'
'BE351';'5374'
'BE32A';'7940'
'BE252';'8650'
'BE256';'8810'
'BE211';'2840'
'BE351';'5541'
'BE345';'6820'
'BE252';'8647'
'BE32B';'6040'
'BE223';'3722'
'BE310';'1490'
'BE352';'5032'
'BE331';'4480'
'BE241';'1673'
'BE32B';'6043'
'BE32D';'6536'
