NUTS3;CODE
'BE252';'8647'
'BE252';'8650'
'BE252';'8680'
'BE253';'8640'
'BE253';'8900'
'BE253';'8902'
'BE253';'8904'
'BE253';'8906'
'BE253';'8908'
'BE253';'8920'
'BE253';'8940'
'BE253';'8950'
'BE253';'8951'
'BE253';'8952'
'BE253';'8953'
'BE253';'8954'
'BE253';'8956'
'BE253';'8957'
'BE253';'8958'
'BE253';'8970'
'BE253';'8978'
'BE253';'8980'
'BE254';'8500'
'BE254';'8501'
'BE254';'8510'
'BE254';'8511'
'BE254';'8520'
'BE254';'8530'
'BE254';'8531'
'BE254';'8540'
'BE254';'8550'
'BE254';'8551'
'BE254';'8552'
'BE254';'8553'
'BE254';'8554'
'BE254';'8560'
'BE254';'8570'
'BE254';'8572'
'BE254';'8573'
'BE254';'8580'
'BE254';'8581'
'BE254';'8582'
'BE254';'8583'
'BE254';'8710'
'BE254';'8790'
'BE254';'8791'
'BE254';'8792'
'BE254';'8793'
'BE254';'8860'
'BE254';'8930'
'BE255';'8400'
'BE255';'8420'
'BE255';'8421'
'BE255';'8430'
'BE255';'8431'
'BE255';'8432'
'BE255';'8433'
'BE255';'8434'
'BE255';'8450'
'BE255';'8460'
'BE255';'8470'
'BE255';'8480'
'BE256';'8770'
'BE256';'8800'
'BE256';'8810'
'BE256';'8830'
'BE256';'8840'
'BE256';'8870'
'BE256';'8880'
'BE256';'8890'
'BE258';'8620'
'BE258';'8630'
'BE258';'8660'
'BE258';'8670'
'BE258';'8690'
'BE258';'8691'
'BE258';'8972'
'BE310';'1300'
'BE310';'1301'
'BE310';'1310'
'BE310';'1315'
'BE310';'1320'
'BE310';'1325'
'BE310';'1330'
'BE310';'1331'
'BE310';'1332'
'BE310';'1340'
'BE310';'1341'
'BE310';'1342'
'BE310';'1348'
'BE310';'1350'
'BE310';'1357'
'BE310';'1360'
'BE310';'1367'
'BE310';'1370'
'BE310';'1380'
'BE310';'1390'
'BE310';'1400'
'BE310';'1401'
'BE310';'1402'
'BE310';'1404'
'BE310';'1410'
'BE310';'1420'
'BE310';'1421'
'BE310';'1428'
'BE310';'1430'
'BE310';'1435'
'BE310';'1440'
'BE310';'1450'
'BE310';'1457'
'BE310';'1460'
'BE310';'1461'
'BE310';'1470'
'BE310';'1471'
'BE310';'1472'
'BE310';'1473'
'BE310';'1474'
'BE310';'1476'
'BE310';'1480'
'BE310';'1490'
'BE310';'1495'
'BE323';'7000'
'BE323';'7011'
'BE323';'7012'
'BE323';'7020'
'BE323';'7021'
'BE323';'7022'
'BE323';'7024'
'BE323';'7030'
'BE323';'7031'
'BE323';'7032'
'BE323';'7033'
'BE323';'7034'
'BE323';'7040'
'BE323';'7041'
'BE323';'7050'
'BE323';'7080'
'BE323';'7300'
'BE323';'7301'
'BE323';'7330'
'BE323';'7331'
'BE323';'7332'
'BE323';'7333'
'BE323';'7334'
'BE323';'7340'
'BE323';'7350'
'BE323';'7370'
'BE323';'7380'
'BE323';'7382'
'BE323';'7387'
'BE323';'7390'
'BE323';'7870'
'BE328';'7500'
'BE328';'7501'
'BE328';'7502'
'BE328';'7503'
'BE328';'7504'
'BE328';'7506'
'BE328';'7520'
'BE328';'7521'
'BE328';'7522'
'BE328';'7530'
'BE328';'7531'
'BE328';'7532'
'BE328';'7533'
'BE328';'7534'
'BE328';'7536'
'BE328';'7538'
'BE328';'7540'
'BE328';'7542'
'BE328';'7543'
'BE328';'7548'
'BE328';'7600'
'BE328';'7601'
'BE328';'7602'
'BE328';'7603'
'BE328';'7604'
'BE328';'7608'
'BE328';'7610'
'BE328';'7611'
'BE328';'7618'
'BE328';'7620'
'BE328';'7621'
'BE328';'7622'
'BE328';'7623'
'BE328';'7624'
'BE328';'7640'
'BE328';'7641'
'BE328';'7642'
'BE328';'7643'
'BE328';'7700'
'BE328';'7711'
'BE328';'7712'
'BE328';'7730'
'BE328';'7740'
'BE328';'7742'
'BE328';'7743'
'BE328';'7750'
'BE328';'7760'
'BE328';'7781'
'BE328';'7782'
'BE328';'7783'
'BE328';'7784'
'BE328';'7900'
'BE328';'7901'
'BE328';'7903'
'BE328';'7904'
'BE328';'7906'
'BE328';'8587'
'BE329';'7100'
'BE329';'7110'
'BE329';'7120'
'BE329';'7130'
'BE329';'7131'
'BE329';'7133'
'BE329';'7134'
'BE329';'7140'
'BE329';'7141'
'BE32B';'6000'
'BE32B';'6001'
'BE32B';'6010'
'BE32B';'6020'
'BE32B';'6030'
'BE32B';'6031'
'BE32B';'6032'
'BE32B';'6040'
'BE32B';'6041'
'BE32B';'6042'
'BE32B';'6043'
'BE32B';'6044'
'BE32B';'6060'
'BE32B';'6061'
'BE32B';'6110'
'BE32B';'6111'
'BE32B';'6140'
'BE32B';'6141'
'BE32B';'6142'
'BE32B';'6180'
'BE32B';'6181'
'BE32B';'6182'
'BE32B';'6183'
'BE32B';'6200'
'BE32B';'6210'
'BE32B';'6211'
'BE32B';'6220'
'BE32B';'6221'
'BE32B';'6222'
'BE32B';'6223'
'BE32B';'6224'
'BE32B';'6230'
'BE32B';'6238'
'BE32B';'6240'
'BE32B';'6250'
'BE32B';'6280'
'BE32B';'7160'
'BE32C';'7060'
'BE32C';'7061'
'BE32C';'7062'
'BE32C';'7063'
'BE32C';'7070'
'BE32C';'7090'
'BE32C';'7170'
'BE32C';'7180'
'BE32C';'7181'
'BE32C';'7190'
'BE32C';'7191'
'BE32D';'6120'
'BE32D';'6150'
'BE32D';'6440'
'BE32D';'6441'
'BE32D';'6460'
'BE32D';'6461'
'BE32D';'6462'
'BE32D';'6463'
'BE32D';'6464'
'BE32D';'6470'
'BE32D';'6500'
'BE32D';'6511'
'BE32D';'6530'
'BE32D';'6531'
'BE32D';'6532'
'BE32D';'6533'
'BE32D';'6534'
'BE32D';'6536'
'BE32D';'6540'
'BE32D';'6542'
'BE32D';'6543'
'BE32D';'6560'
'BE32D';'6567'
'BE32D';'6590'
'BE32D';'6591'
'BE32D';'6592'
'BE32D';'6593'
'BE32D';'6594'
'BE32D';'6596'
'BE331';'4160'
'BE331';'4161'
'BE331';'4162'
'BE331';'4163'
'BE331';'4180'
'BE331';'4181'
'BE331';'4190'
'BE331';'4210'
'BE331';'4217'
'BE331';'4218'
'BE331';'4480'
'BE331';'4500'
'BE331';'4520'
'BE331';'4530'
'BE331';'4537'
'BE331';'4540'
'BE331';'4550'
'BE331';'4557'
'BE331';'4560'
'BE331';'4570'
'BE331';'4577'
'BE331';'4590'
'BE332';'4000'
'BE332';'4020'
'BE332';'4030'
'BE332';'4031'
'BE332';'4032'
'BE332';'4040'
'BE332';'4041'
'BE332';'4042'
'BE332';'4050'
'BE332';'4051'
'BE332';'4052'
'BE332';'4053'
'BE332';'4100'
'BE332';'4101'
'BE332';'4102'
'BE332';'4120'
'BE332';'4121'
'BE332';'4122'
'BE332';'4130'
'BE332';'4140'
'BE332';'4141'
'BE332';'4170'
'BE332';'4171'
'BE332';'4340'
'BE332';'4342'
'BE332';'4400'
'BE332';'4420'
'BE332';'4430'
